,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL
1472,PUNJAB,1901,55.7,50.1,25.2,2.1,25.2,10.4,178.2,145.0,24.4,3.7,0.0,3.3,523.5
1473,PUNJAB,1902,0.0,0.8,9.9,10.9,29.6,49.9,125.6,94.9,67.2,9.0,0.0,0.1,398.0
1474,PUNJAB,1903,29.5,0.5,45.0,1.3,9.2,5.2,212.2,119.1,132.5,6.9,0.0,9.5,571.0
1475,PUNJAB,1904,24.2,1.7,87.8,1.2,13.8,22.0,59.9,124.0,73.8,7.4,9.8,25.9,451.5
1476,PUNJAB,1905,53.0,40.3,24.3,0.5,2.2,19.2,122.6,50.3,111.1,1.2,0.0,9.4,434.3
1477,PUNJAB,1906,5.3,83.1,50.5,1.5,4.7,38.3,99.4,190.5,181.5,0.5,0.0,22.2,677.5
1478,PUNJAB,1907,27.3,95.4,53.1,50.7,3.3,20.2,82.8,249.0,6.8,0.4,0.0,0.0,589.2
1479,PUNJAB,1908,46.9,11.8,0.3,31.3,12.1,13.0,183.8,399.1,37.3,1.2,1.7,2.0,740.4
1480,PUNJAB,1909,34.0,21.0,0.2,48.6,1.8,81.3,240.9,178.7,197.2,1.5,0.0,40.5,846.1
1481,PUNJAB,1910,27.1,5.6,1.1,2.7,1.4,111.4,143.9,217.9,79.5,21.0,0.0,4.8,616.3
1482,PUNJAB,1911,112.1,7.3,108.5,3.7,1.0,64.9,26.4,103.5,34.0,11.7,32.6,0.1,505.6
1483,PUNJAB,1912,53.3,5.2,8.5,19.9,10.0,10.6,173.3,197.4,37.5,0.0,18.5,2.2,536.4
1484,PUNJAB,1913,0.9,58.7,47.5,0.6,52.8,86.9,111.5,159.0,22.6,2.2,2.6,15.8,561.2
1485,PUNJAB,1914,19.8,26.9,15.8,44.6,17.3,58.9,290.9,75.6,193.1,34.7,8.1,8.7,794.4
1486,PUNJAB,1915,28.7,59.8,48.3,9.3,4.3,22.5,54.1,67.4,105.5,19.3,0.0,2.4,421.7
1487,PUNJAB,1916,2.8,20.9,2.8,4.4,8.2,33.9,238.3,184.1,71.3,21.1,0.0,0.6,588.4
1488,PUNJAB,1917,6.5,3.1,12.5,71.9,31.3,82.6,172.4,211.4,369.1,156.5,0.0,9.4,1126.7
1489,PUNJAB,1918,3.1,1.2,61.4,38.5,0.6,31.9,38.7,140.5,15.5,0.2,3.5,4.5,339.6
1490,PUNJAB,1919,81.4,12.3,11.1,4.9,11.9,6.4,202.0,137.0,46.2,0.4,3.3,32.9,549.9
1491,PUNJAB,1920,25.7,18.3,21.3,0.6,20.0,42.7,148.0,81.3,23.3,0.4,0.0,1.5,383.1
1492,PUNJAB,1921,19.3,3.9,0.7,0.7,1.0,19.9,116.8,113.9,46.6,27.0,0.0,20.5,370.4
1493,PUNJAB,1922,23.8,14.0,3.1,3.0,1.7,65.1,132.8,85.6,148.5,2.5,0.0,33.5,513.6
1494,PUNJAB,1923,36.4,63.0,7.3,4.9,38.0,21.8,222.2,279.1,12.8,5.7,2.5,44.1,737.9
1495,PUNJAB,1924,39.1,42.3,2.6,1.1,17.7,2.3,185.8,109.0,155.0,0.5,1.1,34.4,590.8
1496,PUNJAB,1925,18.1,2.1,1.1,7.7,21.1,104.7,284.4,158.8,14.4,7.5,9.8,0.0,629.6
1497,PUNJAB,1926,14.1,7.5,50.2,16.2,34.9,7.2,189.0,228.4,54.1,0.1,1.3,4.4,607.3
1498,PUNJAB,1927,0.7,39.8,15.7,6.6,18.1,18.6,226.1,95.2,24.8,5.5,2.3,27.7,481.0
1499,PUNJAB,1928,25.6,21.3,6.3,10.2,2.8,34.9,92.3,120.2,58.8,1.0,27.0,36.9,437.1
1500,PUNJAB,1929,8.9,1.1,0.0,11.5,1.7,45.6,163.3,111.6,8.5,10.2,0.0,60.6,423.0
1501,PUNJAB,1930,25.6,27.0,6.7,13.3,7.1,55.0,258.4,57.4,91.7,1.1,0.2,13.9,557.2
