,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL
1702,JAMMU & KASHMIR,1901,66.4,69.3,69.6,132.2,105.8,53.4,171.7,181.3,101.8,24.1,0.0,4.4,979.9
1703,JAMMU & KASHMIR,1902,6.5,9.7,91.3,100.5,70.7,113.3,108.4,136.9,62.2,15.1,44.0,1.8,760.5
1704,JAMMU & KASHMIR,1903,96.2,21.5,238.6,58.7,57.3,18.9,332.5,218.6,176.9,10.7,15.0,41.8,1286.6
1705,JAMMU & KASHMIR,1904,110.6,17.3,145.2,64.5,67.8,25.9,182.3,132.2,62.3,50.0,24.8,99.2,982.2
1706,JAMMU & KASHMIR,1905,146.7,76.3,161.4,71.7,65.2,43.3,145.2,111.5,239.7,5.8,0.6,90.2,1157.7
1707,JAMMU & KASHMIR,1906,81.0,160.4,167.2,49.3,39.4,52.2,107.0,257.4,237.0,5.3,0.0,36.9,1193.1
1708,JAMMU & KASHMIR,1907,99.6,195.8,132.2,151.0,57.0,85.9,85.1,220.3,24.9,13.9,3.1,0.8,1069.6
1709,JAMMU & KASHMIR,1908,86.4,51.4,28.1,195.8,45.3,26.1,233.3,345.9,118.9,9.0,1.2,86.0,1227.3
1710,JAMMU & KASHMIR,1909,91.9,149.3,56.1,48.0,43.1,68.2,252.2,264.7,237.7,55.2,0.1,73.4,1339.9
1711,JAMMU & KASHMIR,1910,123.6,85.1,65.6,99.7,33.0,126.2,193.7,276.1,39.4,0.4,0.1,66.7,1109.4
1712,JAMMU & KASHMIR,1911,344.8,52.3,285.4,53.1,18.7,76.7,95.1,144.4,72.8,15.1,93.6,28.1,1280.2
1713,JAMMU & KASHMIR,1912,169.8,39.7,107.5,102.8,61.1,22.9,192.7,152.9,14.0,4.6,21.4,47.3,936.7
1714,JAMMU & KASHMIR,1913,68.4,141.9,95.0,81.0,54.4,99.1,152.2,173.9,24.4,12.8,33.4,63.7,1000.2
1715,JAMMU & KASHMIR,1914,47.8,228.9,155.4,153.7,91.9,86.1,369.9,159.3,103.3,157.3,43.0,95.6,1692.1
