,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL
4002,LAKSHADWEEP,1901,22.6,86.4,114.8,263.8,37.3,459.0,0.0,0.0,46.7,183.7,229.9,15.0,1459.2
4003,LAKSHADWEEP,1902,99.3,9.6,32.6,40.4,179.1,374.2,413.3,170.0,214.3,384.2,192.8,49.0,2158.8
4004,LAKSHADWEEP,1903,63.5,95.0,0.0,29.5,144.1,212.4,261.8,202.0,292.1,79.1,39.86616321559074,18.870579639551828,1411.0088997555017
4005,LAKSHADWEEP,1904,0.0,0.0,13.5,13.2,143.3,261.3,256.0,38.9,219.9,153.6,8.3,68.9,1176.9
4006,LAKSHADWEEP,1905,62.4,0.0,0.0,0.0,166.7,400.7,68.7,377.5,107.5,232.1,159.3,0.0,1574.9
4007,LAKSHADWEEP,1906,17.8,0.0,24.4,33.8,213.0,465.0,348.6,260.5,25.9,252.3,106.5,63.8,1811.6
4008,LAKSHADWEEP,1907,60.6,49.3,0.0,123.5,77.0,241.1,199.5,165.6,25.8,176.3,292.7,47.4,1458.8
4009,LAKSHADWEEP,1908,18.0,9.2,5.6,162.0,150.9,471.7,184.9,73.9,437.0,251.2,98.0,96.7,1959.1
4010,LAKSHADWEEP,1909,70.4,0.0,34.2,92.4,48.4,204.0,122.4,368.8,105.1,340.5,45.0,32.3,1463.5
4011,LAKSHADWEEP,1910,2.3,0.0,32.8,34.3,201.1,340.4,155.2,292.4,301.8,317.1,171.8,0.0,1849.2
4012,LAKSHADWEEP,1911,22.4,0.0,0.0,0.0,104.2,425.3,245.5,60.3,67.9,316.1,276.0,170.0,1687.7
4013,LAKSHADWEEP,1912,11.4,54.6,8.1,118.6,165.1,417.8,171.7,152.2,68.9,267.8,126.2,92.5,1654.9
4014,LAKSHADWEEP,1913,77.0,1.8,50.3,53.4,244.0,251.8,215.5,235.5,38.6,154.3,111.4,84.9,1518.5
4015,LAKSHADWEEP,1914,10.4,0.0,53.3,10.2,120.7,377.1,347.5,220.4,26.5,437.0,172.0,258.9,2034.0
4016,LAKSHADWEEP,1915,0.0,0.0,22.9,50.5,143.3,183.4,461.6,76.0,222.1,151.6,155.8,78.3,1545.5
4017,LAKSHADWEEP,1916,0.3,13.2,32.0,28.7,130.5,327.6,445.9,31.8,275.4,85.2,17.5,10.4,1398.5
4018,LAKSHADWEEP,1917,18.957320038910485,68.6,27.35919708029197,43.12743190661488,85.74541697058119,230.23444417416664,347.21433438792855,290.2634970817118,197.3619221411195,95.50700900462415,39.86616321559074,18.870579639551828,1411.0088997555017
4019,LAKSHADWEEP,1919,74.4,1.3,39.4,25.6,249.8,352.1,367.4,175.6,196.9,181.0,150.2,112.8,1926.5
4020,LAKSHADWEEP,1920,82.6,21.805324580598146,35.6,49.4,203.1,530.0,134.2,116.9,247.6,258.8,359.6,33.1,1411.0088997555017
4021,LAKSHADWEEP,1921,37.6,0.0,16.8,82.4,156.3,326.2,163.7,235.5,197.3619221411195,170.3,110.3,93.0,1411.0088997555017
4022,LAKSHADWEEP,1922,17.8,56.7,0.0,214.1,112.8,232.9,258.0,190.4,425.2,152.7,210.0,57.9,1928.5
