,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL
1817,WEST RAJASTHAN,1901,6.7,0.0,1.1,0.0,6.1,3.0,79.0,59.2,1.0,2.1,0.0,0.6,158.9
1818,WEST RAJASTHAN,1902,0.0,0.0,0.0,0.5,4.0,49.1,27.0,71.3,41.8,1.8,0.0,0.0,195.6
1819,WEST RAJASTHAN,1903,1.7,1.3,5.5,0.0,4.2,2.7,154.8,87.1,49.3,0.1,0.0,0.5,307.0
1820,WEST RAJASTHAN,1904,3.8,2.9,16.3,0.7,11.4,14.6,39.8,45.6,21.4,1.4,2.9,7.1,167.9
1821,WEST RAJASTHAN,1905,6.3,4.8,0.7,1.3,0.3,4.9,30.1,0.6,64.5,0.0,0.0,0.9,114.4
1822,WEST RAJASTHAN,1906,0.1,39.1,7.8,0.0,0.2,19.9,53.7,58.6,87.1,0.7,0.0,2.4,269.5
1823,WEST RAJASTHAN,1907,0.6,24.5,6.3,7.3,6.8,12.8,52.2,242.5,0.2,0.1,0.0,0.0,353.2
1824,WEST RAJASTHAN,1908,8.5,0.2,0.0,3.8,6.6,28.4,208.9,265.8,56.8,2.0,1.0,0.0,581.9
1825,WEST RAJASTHAN,1909,1.9,6.5,0.0,23.7,2.3,29.2,158.2,73.9,114.5,0.6,0.0,15.4,426.2
1826,WEST RAJASTHAN,1910,2.2,0.2,0.0,3.6,0.3,67.3,50.5,156.6,12.2,0.5,0.0,0.0,293.2
1827,WEST RAJASTHAN,1911,2.8,0.3,37.3,1.9,0.1,26.0,3.2,14.8,44.5,5.9,2.1,0.0,138.8
1828,WEST RAJASTHAN,1912,16.3,0.0,0.1,2.2,2.9,19.7,119.7,96.8,13.4,5.0,3.7,0.0,279.9
1829,WEST RAJASTHAN,1913,0.1,8.5,2.7,0.5,26.8,53.4,52.0,58.2,31.1,0.1,0.6,14.1,248.3
1830,WEST RAJASTHAN,1914,2.6,1.8,0.1,8.4,3.0,51.6,125.3,54.1,48.3,4.0,3.1,0.0,302.3
1831,WEST RAJASTHAN,1915,7.0,19.7,15.4,0.1,0.6,16.3,25.8,19.0,12.3,31.1,0.0,0.0,147.2
1832,WEST RAJASTHAN,1916,1.5,0.3,0.2,1.7,16.4,21.2,66.1,191.5,102.8,20.0,0.0,0.0,421.7
1833,WEST RAJASTHAN,1917,1.3,1.2,1.1,12.2,56.8,73.9,97.1,243.4,203.0,78.3,0.0,0.5,768.8
1834,WEST RAJASTHAN,1918,0.4,0.0,2.7,0.5,0.7,5.6,5.1,40.8,5.9,0.2,0.2,0.1,62.3
1835,WEST RAJASTHAN,1919,13.7,1.6,0.7,5.4,7.2,1.1,95.7,151.9,21.3,0.0,4.4,2.0,305.0
1836,WEST RAJASTHAN,1920,2.7,1.5,0.9,1.5,49.2,60.3,94.7,37.2,0.6,0.0,0.0,0.0,248.7
1837,WEST RAJASTHAN,1921,0.1,0.0,0.0,0.0,0.0,4.3,119.2,46.7,46.6,0.6,0.1,0.4,218.0
1838,WEST RAJASTHAN,1922,0.4,0.6,0.0,0.8,4.6,18.1,90.8,33.9,91.7,1.5,0.0,2.5,244.8
1839,WEST RAJASTHAN,1923,3.3,4.9,0.7,0.4,9.6,7.8,118.9,118.3,4.7,0.4,0.0,4.4,273.4
1840,WEST RAJASTHAN,1924,4.4,2.2,0.1,0.5,8.6,11.5,86.0,68.8,103.6,0.9,0.3,10.1,297.1
1841,WEST RAJASTHAN,1925,0.0,0.0,0.0,0.0,8.2,62.6,71.7,20.0,4.5,0.8,1.8,0.0,169.7
